Nombre del Resort,Rate,Estrellas,Km de Freeride,Continente,Pais,Estado,Altitud,Facil,Intermedio,Dificil,Total de kilometros,Precio,Moneda,Tamaño del resort de esqui,Variedad de pistas,Fiabilidad de la nieve,Orientacion de mapas,Limpieza e higiene,Apres-ski,Snow parks,Esqui de fondo y senderos,pais,latitude,longitude,ISO Code
 Loser – Altaussee,3.7,4.0,0.0,Europe,Austria,Styria (Steiermark),1770.0,18.0,12.0,3.0,33,41.0,European Euro,3.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,AT,47.516231,14.550072,AUT
Kaunertal Glacier (Kaunertaler Gletscher),3.7,5.0,0.0,Europe,Austria,Tyrol (Tirol),3108.0,13.0,5.1,2.7,20,44.0,European Euro,3.0,4.0,5.0,4.0,4.0,1.0,5.0,2.0,AT,47.516231,14.550072,AUT
. Filzmoos,3.7,2.0,0.0,Europe,Austria,Salzburg (Salzburger Land),1645.0,6.0,6.0,1.0,13,43.0,European Euro,2.3,2.5,,,,,,,AT,47.516231,14.550072,AUT
 Ifen,3.7,4.0,1.2,Europe,Austria,Vorarlberg,2030.0,10.6,6.2,2.2,19,47.0,European Euro,2.0,4.0,3.0,5.0,4.0,3.0,1.0,1.0,AT,47.516231,14.550072,AUT
. Christlum – Achenkirch,3.7,3.0,0.0,Europe,Austria,Tyrol (Tirol),1800.0,6.0,16.0,5.0,27,44.0,European Euro,2.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,AT,47.516231,14.550072,AUT
. Bergeralm – Steinach am Brenner,3.7,3.0,1.0,Europe,Austria,Tyrol (Tirol),2180.0,10.0,10.0,9.0,29,38.5,European Euro,3.0,4.0,4.0,4.0,5.0,3.0,1.0,5.0,AT,47.516231,14.550072,AUT
 Moelltal Glacier (Mölltaler Gletscher),3.7,4.0,6.7,Europe,Austria,Carinthia (Karnten),3122.0,5.2,7.2,5.0,17,46.5,European Euro,3.0,4.0,5.0,4.0,4.0,2.0,3.0,3.0,AT,47.516231,14.550072,AUT
. Lachtal,3.7,3.0,10.0,Europe,Austria,Styria (Steiermark),2222.0,7.0,16.0,2.0,25,41.0,European Euro,3.0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,AT,47.516231,14.550072,AUT
 Gargellen,3.7,4.0,3.0,Europe,Austria,Vorarlberg,2300.0,20.8,5.3,2.0,28,47.5,European Euro,3.0,4.0,4.0,4.0,5.0,3.0,2.0,1.0,AT,47.516231,14.550072,AUT
. Berwang/Bichlbach/Rinnen,3.7,2.0,0.0,Europe,Austria,Tyrol (Tirol),1743.0,24.5,10.0,1.5,36,43.0,European Euro,3.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,AT,47.516231,14.550072,AUT
. Rauriser Hochalmbahnen – Rauris,3.7,3.0,5.0,Europe,Austria,Salzburg (Salzburger Land),2175.0,15.0,12.5,5.0,32,42.5,European Euro,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,AT,47.516231,14.550072,AUT
. Grosseck/Speiereck – Mauterndorf/St. Michael,3.7,3.0,0.0,Europe,Austria,Salzburg (Salzburger Land),2400.0,26.0,17.0,7.0,50,41.0,European Euro,3.0,4.0,4.0,4.0,4.0,3.0,1.0,4.0,AT,47.516231,14.550072,AUT
. Flachauwinkl/Kleinarl (Shuttleberg),3.7,3.0,12.0,Europe,Austria,Salzburg (Salzburger Land),1980.0,19.0,7.0,2.0,28,51.5,European Euro,3.0,3.0,4.0,3.0,4.0,3.0,5.0,3.0,AT,47.516231,14.550072,AUT
. Gerlitzen,3.7,3.0,4.9,Europe,Austria,Carinthia (Karnten),1911.0,10.5,27.8,3.3,41,46.0,European Euro,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,AT,47.516231,14.550072,AUT
 Kappl,3.7,4.0,2.0,Europe,Austria,Tyrol (Tirol),2690.0,10.0,25.0,5.0,40,40.5,European Euro,3.0,4.0,4.0,3.0,4.0,3.0,3.0,1.0,AT,47.516231,14.550072,AUT
 Diedamskopf – Schoppernau,3.7,4.0,0.0,Europe,Austria,Vorarlberg,2060.0,13.0,18.0,9.0,40,43.0,European Euro,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,AT,47.516231,14.550072,AUT
. Zettersfeld – Lienz,3.6,3.0,2.7,Europe,Austria,Tyrol (Tirol),2278.0,7.9,11.5,1.6,21,46.5,European Euro,3.0,3.0,4.0,4.0,5.0,3.0,2.0,2.0,AT,47.516231,14.550072,AUT
. Glungezer – Tulfes,3.6,3.0,0.0,Europe,Austria,Tyrol (Tirol),2304.0,7.0,15.5,0.5,23,29.5,European Euro,2.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,AT,47.516231,14.550072,AUT
. Hochficht,3.6,2.0,3.0,Europe,Austria,Upper Austria (Oberosterreich),1338.0,9.0,10.0,1.0,20,39.0,European Euro,2.4,2.6,,,,,,,AT,47.516231,14.550072,AUT
. Patscherkofel – Innsbruck-Igls,3.6,3.0,0.0,Europe,Austria,Tyrol (Tirol),1969.0,5.0,9.0,4.0,18,37.0,European Euro,2.4,2.7,,,,,,,AT,47.516231,14.550072,AUT
. Mönichkirchen/Mariensee,3.6,2.0,0.0,Europe,Austria,Lower Austria (Niederosterreich),1450.0,5.5,6.0,2.0,13,35.5,European Euro,2.3,2.6,,,,,,,AT,47.516231,14.550072,AUT
Sportgastein,3.6,5.0,7.7,Europe,Austria,Salzburg (Salzburger Land),2686.0,3.5,13.2,1.5,18,52.0,European Euro,2.5,2.7,,,,,,,AT,47.516231,14.550072,AUT
Grossglockner Heiligenblut,3.6,5.0,1.5,Europe,Austria,Carinthia (Karnten),2989.0,20.0,34.0,1.0,55,44.0,European Euro,3.0,4.0,5.0,4.0,4.0,3.0,2.0,3.0,AT,47.516231,14.550072,AUT
. Rosshütte – Seefeld,3.6,3.0,0.0,Europe,Austria,Tyrol (Tirol),2064.0,11.4,5.9,1.0,18,43.5,European Euro,2.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,AT,47.516231,14.550072,AUT
 Sonnenkopf – Klösterle,3.5,4.0,4.0,Europe,Austria,Vorarlberg,2300.0,12.8,15.9,0.8,29,42.0,European Euro,3.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,AT,47.516231,14.550072,AUT
. Hochkössen (Unterberghorn) – Kössen,3.5,3.0,1.0,Europe,Austria,Tyrol (Tirol),1690.0,10.0,9.0,3.0,22,40.0,European Euro,2.0,3.0,3.0,3.0,4.0,2.0,1.0,5.0,AT,47.516231,14.550072,AUT
. Vent,3.5,3.0,0.0,Europe,Austria,Tyrol (Tirol),2680.0,5.0,10.0,0.0,15,34.5,European Euro,2.3,2.3,,,,,,,AT,47.516231,14.550072,AUT
 Weissee Gletscherwelt – Uttendorf,3.5,4.0,2.0,Europe,Austria,Salzburg (Salzburger Land),2600.0,6.0,15.0,2.0,23,38.0,European Euro,2.7,2.9,,,,,,,AT,47.516231,14.550072,AUT
. Werfenweng,3.5,2.0,0.0,Europe,Austria,Salzburg (Salzburger Land),1834.0,11.0,15.0,1.0,27,40.5,European Euro,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,AT,47.516231,14.550072,AUT
. Venet – Landeck/Zams/Fliess,3.5,3.0,2.0,Europe,Austria,Tyrol (Tirol),2212.0,6.0,15.0,1.0,22,38.0,European Euro,3.0,3.0,4.0,4.0,4.0,2.0,3.0,1.0,AT,47.516231,14.550072,AUT
 Rifflsee,3.5,4.0,0.0,Europe,Austria,Tyrol (Tirol),2800.0,9.5,4.5,4.4,18,39.0,European Euro,3.0,4.0,4.0,4.0,4.0,3.0,1.0,4.0,AT,47.516231,14.550072,AUT
. Biberwier – Marienberg,3.4,2.0,1.3,Europe,Austria,Tyrol (Tirol),1820.0,7.3,3.7,0.0,11,44.0,European Euro,2.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,AT,47.516231,14.550072,AUT
. Walmendingerhorn/Heuberg – Mittelberg/Hirschegg,3.4,3.0,4.6,Europe,Austria,Vorarlberg,1946.0,19.5,11.9,2.3,33,47.0,European Euro,3.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,AT,47.516231,14.550072,AUT
